label,gx_mean,gx_std,gx_min,gx_max,gx_range,gx_energy,gx_zcr,gy_mean,gy_std,gy_min,gy_max,gy_range,gy_energy,gy_zcr,gz_mean,gz_std,gz_min,gz_max,gz_range,gz_energy,gz_zcr,mag_mean,mag_max,mag_std,mag_energy,gy_gx_energy_ratio
vertical_shake,458.2857142857143,13434.296878799685,-22396.0,19858.0,42254.0,180690358.42364532,0.01485148514851485,-413.72906403940885,3831.558778152316,-8629.0,8366.0,16995.0,14852014.408866996,0.04455445544554455,-740.6847290640394,3013.756731157043,-6237.0,8070.0,14307.0,9631343.502463054,0.11386138613861387,13148.41097237911,23645.448208904818,5682.693484290355,205173716.33497536,0.08219594303999923
rest,-3.4607843137254903,149.16053804270342,-387.0,173.0,560.0,22260.843137254902,0.4729064039408867,-13.0,157.33481845427355,-180.0,374.0,554.0,24923.245098039217,0.45320197044334976,-1.4950980392156863,128.78453268278656,-150.0,154.0,304.0,16587.691176470587,0.6108374384236454,244.44989752910314,445.8632077218303,63.372131175901636,63771.779411764706,1.1196002300707388
horizontal_shake,455.13300492610836,1996.682972742478,-4014.0,5226.0,9240.0,4193888.945812808,0.06435643564356436,3453.270935960591,24373.443960245833,-32643.0,32844.0,65487.0,605989850.6403941,0.019801980198019802,-609.3891625615763,1575.2853150848448,-2935.0,3636.0,6571.0,2852878.975369458,0.04950495049504951,22584.711186564207,33039.1897146404,10147.28728188268,613036618.5615764,144.4935377331382
vertical_shake,904.9704433497537,8326.667720593616,-12959.0,13023.0,25982.0,70152366.83251232,0.009900990099009901,42.3743842364532,1338.8448803095246,-3405.0,3993.0,7398.0,1794301.2019704434,0.1188118811881188,291.8029556650246,1213.2226110778981,-2411.0,2969.0,5380.0,1557058.0689655172,0.10891089108910891,8151.91235039148,13179.972913477479,2655.193238727294,73503726.10344827,0.025577201211960665
horizontal_shake,-3879.8571428571427,14080.808168010844,-23328.0,24590.0,47918.0,213322450.1133005,0.01485148514851485,724.0492610837439,2728.581010809229,-5451.0,6040.0,11491.0,7969401.665024631,0.10891089108910891,-63.083743842364534,1465.3303626843685,-4482.0,4282.0,8764.0,2151172.630541872,0.08415841584158416,13119.40792413333,24984.579003857558,7164.088227336022,223443024.408867,0.0373584761509719
rest,37.07843137254902,150.01239728341082,-347.0,211.0,558.0,23878.529411764706,0.5073891625615764,4.151960784313726,153.86925136544718,-166.0,383.0,549.0,23692.985294117647,0.5270935960591133,13.156862745098039,127.02533675764424,-134.0,173.0,307.0,16308.539215686274,0.5172413793103449,243.87364913994216,451.6259514244061,66.37542600041843,63880.05392156863,0.992229667311269
horizontal_shake,695.3399014778325,3438.9971298114256,-5708.0,8084.0,13792.0,12310198.837438423,0.06435643564356436,-2189.064039408867,23099.934816423025,-32672.0,32839.0,65511.0,538398989.8916256,0.024752475247524754,-489.26600985221677,4992.7444794048815,-11461.0,9319.0,20780.0,25166878.66502463,0.024752475247524754,21573.57840995143,33940.34397291813,10509.842148375303,575876067.3940886,43.736010847706076
rest,30.64039408866995,155.9245862425762,-344.0,216.0,560.0,25251.310344827587,0.4752475247524752,18.02463054187192,166.94181867317678,-209.0,387.0,596.0,28194.45812807882,0.4504950495049505,21.896551724137932,128.2468530152161,-133.0,167.0,300.0,16926.714285714286,0.504950495049505,253.823754144014,439.90567170701496,77.11021067835198,70372.4827586207,1.1165542596823732
rest,-54.58620689655172,151.1187384484231,-437.0,129.0,566.0,25816.527093596058,0.5297029702970297,-1.8078817733990147,145.78554847711825,-182.0,366.0,548.0,21256.69458128079,0.504950495049505,27.694581280788178,127.89922649541383,-134.0,180.0,314.0,17125.20197044335,0.48514851485148514,244.11604517499939,489.32811078048644,67.86589816275811,64198.423645320196,0.823375448766447
vertical_shake,-2030.5320197044334,14734.123505006919,-29018.0,27588.0,56606.0,221217455.74384236,0.17326732673267325,-445.5024630541872,2188.570321682536,-9774.0,5406.0,15180.0,4988312.497536946,0.16831683168316833,-448.73399014778323,3176.402035295578,-10314.0,8224.0,18538.0,10290892.083743842,0.16831683168316833,11024.269588489715,30798.869719520553,10722.03993489224,236496660.32512316,0.022549362032773478
vertical_shake,3259.3743842364534,15492.7906862837,-27871.0,24741.0,52612.0,250650084.62561578,0.019801980198019802,-58.63054187192118,2378.3267571957604,-7324.0,5967.0,13291.0,5659875.704433498,0.15346534653465346,-954.1724137931035,3605.5766897737712,-8139.0,6169.0,14308.0,13910628.261083744,0.04950495049504951,14978.529587072891,28214.818712867887,6772.314227818656,270220588.591133,0.022580785132737487
horizontal_shake,-8.438423645320198,1514.0437291227877,-3549.0,3489.0,7038.0,2292399.620689655,0.07425742574257425,2181.669950738916,13371.963875074192,-19235.0,18046.0,37281.0,183569101.6502463,0.01485148514851485,-408.6502463054187,2212.096685198779,-4323.0,4200.0,8523.0,5060366.768472906,0.06930693069306931,12797.300035402788,19523.824702142763,5210.66021184347,190921868.03940886,80.07726924811678
rest,-30.591133004926107,151.91209968185808,-412.0,148.0,560.0,24013.103448275862,0.4900990099009901,-19.20689655172414,143.5478895793452,-191.0,351.0,542.0,20974.90147783251,0.4801980198019802,11.61576354679803,127.06547766242237,-141.0,165.0,306.0,16280.56157635468,0.4405940594059406,239.63379324401,463.99245683523776,62.00170673417078,61268.56650246305,0.8734773297009432
vertical_shake,-425.2857142857143,15017.123689920361,-27501.0,29541.0,57042.0,225694871.85714287,0.019801980198019802,-248.74384236453201,4161.739798585687,-9213.0,11766.0,20979.0,17381951.650246307,0.13366336633663367,-331.76354679802955,3278.628300112225,-9066.0,6775.0,15841.0,10859470.581280788,0.06930693069306931,14304.665272755785,30549.503596621664,7022.310554446065,253936294.08866996,0.07701527069364912
rest,-49.26108374384236,148.56895635005222,-424.0,132.0,556.0,24499.389162561576,0.4900990099009901,20.38423645320197,156.0029055804415,-171.0,387.0,558.0,24752.423645320196,0.400990099009901,-11.591133004926109,129.04482483977466,-179.0,132.0,311.0,16786.92118226601,0.5198019801980198,247.28563062660282,569.8912176898325,69.91817271461787,66038.73399014778,1.010328195575802
