label,gx_mean,gx_std,gx_min,gx_max,gx_range,gx_energy,gx_zcr,gy_mean,gy_std,gy_min,gy_max,gy_range,gy_energy,gy_zcr,gz_mean,gz_std,gz_min,gz_max,gz_range,gz_energy,gz_zcr,mag_mean,mag_max,mag_std,mag_energy
horizontal_shake,1709.334975369458,25648.71552063056,-32650.0,32668.0,65318.0,660778433.9162562,0.034653465346534656,-1842.0,4115.343904010437,-12104.0,4562.0,16666.0,20329019.44827586,0.054455445544554455,-242.77339901477833,3339.262608179534,-8713.0,7043.0,15756.0,11209613.689655172,0.09900990099009901,23636.250980649103,34786.18721561764,11560.48038076065,692317067.0541872
horizontal_shake,-901.3300492610838,16307.923830443297,-30063.0,28228.0,58291.0,266760775.5172414,0.019801980198019802,-134.27093596059115,2500.7381591015896,-7147.0,3493.0,10640.0,6271720.024630542,0.04950495049504951,-91.5911330049261,2167.6263482291265,-4719.0,5965.0,10684.0,4706992.921182266,0.06435643564356436,14738.761842966305,30203.251248830813,7778.713762530072,277739488.4630542
horizontal_shake,-2758.694581280788,13716.19320492382,-23815.0,27929.0,51744.0,195744351.8275862,0.009900990099009901,85.14285714285714,2611.8215967947467,-6476.0,3753.0,10229.0,6828861.359605911,0.039603960396039604,-20.45320197044335,1149.0047402557316,-4084.0,2488.0,6572.0,1320630.2266009853,0.1188118811881188,13220.959176388755,28302.877115233357,5394.449172070779,203893843.41379312
horizontal_shake,-3879.8571428571427,14080.808168010844,-23328.0,24590.0,47918.0,213322450.1133005,0.01485148514851485,724.0492610837439,2728.5810108092287,-5451.0,6040.0,11491.0,7969401.665024631,0.10891089108910891,-63.083743842364534,1465.330362684369,-4482.0,4282.0,8764.0,2151172.630541872,0.08415841584158416,13119.407924133326,24984.579003857558,7164.088227336021,223443024.408867
horizontal_shake,-5213.4975369458125,16921.81190800778,-29014.0,27767.0,56781.0,313528274.817734,0.009900990099009901,876.9211822660099,2962.4571554249783,-5493.0,5980.0,11473.0,9545143.157635467,0.0594059405940594,61.17733990147783,1729.1550281590435,-4097.0,4659.0,8756.0,2993719.7783251232,0.0891089108910891,16219.305084641046,29653.3796556143,7937.334585679998,326067137.7536946
horizontal_shake,859.9113300492611,2418.8709681606724,-5304.0,5998.0,11302.0,6590384.256157636,0.0891089108910891,-3279.4827586206898,20522.03621638096,-35307.0,25063.0,60370.0,431908977.63054186,0.01485148514851485,102.93103448275862,2439.3622935481817,-6002.0,5575.0,11577.0,5961083.197044335,0.07920792079207921,18772.08381138292,35655.01269106491,9595.275632422416,444460445.0837439
horizontal_shake,141.6305418719212,1440.197782138978,-2621.0,3329.0,5950.0,2094228.8620689656,0.054455445544554455,-1375.7241379310344,14402.50193962648,-23893.0,22055.0,45948.0,209324679.02463055,0.01485148514851485,140.36453201970443,2947.8617206814947,-4860.0,5914.0,10774.0,8709590.926108375,0.054455445544554455,13629.810826796143,24057.541748898617,5861.463608908492,220128498.8128079
horizontal_shake,-85.32019704433498,1344.6786313509199,-4202.0,2274.0,6476.0,1815440.157635468,0.09900990099009901,3610.118226600985,13878.137658305233,-21530.0,20966.0,42496.0,205635658.4729064,0.009900990099009901,-667.0443349753695,1967.8305183052034,-3443.0,3164.0,6607.0,4317305.093596059,0.039603960396039604,13746.616000828253,21782.207601618346,4774.824839709914,211768403.72413793
horizontal_shake,-302.23152709359607,1290.2234123532126,-4135.0,2839.0,6974.0,1756020.3497536946,0.14356435643564355,2832.0985221674878,13159.833045048277,-18735.0,22967.0,41702.0,181201987.8128079,0.009900990099009901,-348.9064039408867,2007.498817821582,-3785.0,3654.0,7439.0,4151787.18226601,0.019801980198019802,12705.855496196855,23206.58221281195,5066.658805819827,187109795.3448276
horizontal_shake,-365.5221674876847,1384.1587024427556,-4039.0,3215.0,7254.0,2049501.7684729064,0.0891089108910891,2448.4039408866997,12510.229475569706,-18284.0,20840.0,39124.0,162500523.38916257,0.009900990099009901,-97.92610837438424,1917.7982139979997,-3396.0,4083.0,7479.0,3687539.512315271,0.0594059405940594,12306.245254074976,21047.72581539393,4098.035189759591,168237564.66995075
horizontal_shake,157.01477832512316,2104.548415756776,-4116.0,4912.0,9028.0,4453777.674876847,0.04950495049504951,748.8817733990148,17511.054807991593,-26613.0,24979.0,51592.0,307197864.3990148,0.01485148514851485,-59.13300492610838,3240.453925364194,-4821.0,6204.0,11025.0,10504038.354679802,0.024752475247524754,16636.301729563143,26842.035690312314,6737.146665429345,322155680.4285714
horizontal_shake,54.827586206896555,1911.3019792768932,-4798.0,3394.0,8192.0,3656081.3201970444,0.09900990099009901,-1601.768472906404,14254.617730785647,-20829.0,24571.0,45400.0,205759788.8916256,0.01485148514851485,93.07389162561576,2275.8526490645904,-3909.0,4657.0,8566.0,5188168.029556651,0.024752475247524754,13659.796480474255,24649.498291040327,5292.8251769166145,214604038.24137932
horizontal_shake,-229.20197044334975,1330.841540347069,-3656.0,2428.0,6084.0,1823672.7487684728,0.08415841584158416,4135.014778325123,13184.838034083063,-18276.0,20626.0,38902.0,190938301.20197046,0.009900990099009901,-397.6502463054187,1787.5264415247639,-3906.0,3501.0,7407.0,3353376.4975369456,0.09405940594059406,12933.65186054945,20967.88651724346,5369.916200312771,196115350.44827586
